indicator,sex,ageY,height,P5,P10,P25,P50,P75,P90,P95
yem,m,19.5,185,,,,0.27331,0.31818,0.36889,0.40477
yem,m,19.5,190,,,,0.27180,0.31642,0.36685,0.40253
yem,m,20,170,,,,0.28258,0.32897,0.38141,0.41851
yem,m,20,175,,,,0.28107,0.32721,0.37937,0.41627
yem,m,20,180,,,,0.27956,0.32545,0.37733,0.41403
yem,m,20,185,,,,0.27805,0.32369,0.37529,0.41179
yem,m,20,190,,,,0.27654,0.32194,0.37325,0.40956
yem,m,20.5,170,,,,0.28732,0.33449,0.38781,0.42553
yem,m,20.5,175,,,,0.28581,0.33273,0.38577,0.42329
yem,m,20.5,180,,,,0.28430,0.33097,0.38373,0.42105
yem,m,20.5,185,,,,0.28279,0.32921,0.38169,0.41881
yem,m,20.5,190,,,,0.28128,0.32745,0.37965,0.41658
yem,m,21,170,,,,0.29206,0.34001,0.39420,0.43255
yem,m,21,175,,,,0.29055,0.33825,0.39216,0.43031
yem,m,21,180,,,,0.28904,0.33649,0.39012,0.42807
yem,m,21,185,,,,0.28753,0.33473,0.38808,0.42583
yem,m,21,190,,,,0.28602,0.33297,0.38605,0.42360
yem,m,21.5,170,,,,0.29680,0.34553,0.40060,0.43957
yem,m,21.5,175,,,,0.29529,0.34377,0.39856,0.43733
yem,m,21.5,180,,,,0.29378,0.34201,0.39652,0.43509
yem,m,21.5,185,,,,0.29227,0.34025,0.39448,0.43285
yem,m,21.5,190,,,,0.29076,0.33849,0.39244,0.43062
yem,m,22,170,,,,0.30154,0.35105,0.40700,0.44659
yem,m,22,175,,,,0.30003,0.34929,0.40496,0.44435
yem,m,22,180,,,,0.29852,0.34753,0.40292,0.44211
yem,m,22,185,,,,0.29701,0.34577,0.40088,0.43987
yem,m,22,190,,,,0.29550,0.34401,0.39884,0.43764
yem,m,22.5,170,,,,0.30628,0.35656,0.41340,0.45361
yem,m,22.5,175,,,,0.30477,0.35481,0.41136,0.45137
yem,m,22.5,180,,,,0.30326,0.35305,0.40932,0.44913
yem,m,22.5,185,,,,0.30175,0.35129,0.40728,0.44690
yem,m,22.5,190,,,,0.30024,0.34953,0.40524,0.44466
yem,m,23,170,,,,0.31102,0.36208,0.41980,0.46063
yem,m,23,175,,,,0.30951,0.36032,0.41776,0.45839
yem,m,23,180,,,,0.30800,0.35856,0.41572,0.45615
yem,m,23,185,,,,0.30649,0.35681,0.41368,0.45392
yem,m,23,190,,,,0.30498,0.35505,0.41164,0.45168
yem,m,23.5,170,,,,0.31576,0.36760,0.42619,0.46765
yem,m,23.5,175,,,,0.31425,0.36584,0.42415,0.46541
yem,m,23.5,180,,,,0.31274,0.36408,0.42211,0.46317
yem,m,23.5,185,,,,0.31123,0.36232,0.42008,0.46094
yem,m,23.5,190,,,,0.30972,0.36056,0.41804,0.45870
yem,m,24,170,,,,0.32050,0.37312,0.43259,0.47467
yem,m,24,175,,,,0.31899,0.37136,0.43055,0.47243
yem,m,24,180,,,,0.31748,0.36960,0.42851,0.47019
yem,m,24,185,,,,0.31597,0.36784,0.42647,0.46796
yem,m,24,190,,,,0.31446,0.36608,0.42443,0.46572
yem,m,24.5,170,,,,0.32525,0.37864,0.43899,0.48169
yem,m,24.5,175,,,,0.32373,0.37688,0.43695,0.47945
yem,m,24.5,180,,,,0.32222,0.37512,0.43491,0.47721
yem,m,24.5,185,,,,0.32071,0.37336,0.43287,0.47498
yem,m,24.5,190,,,,0.31920,0.37160,0.43083,0.47274
yem,m,25,170,,,,0.32999,0.38416,0.44539,0.48871
yem,m,25,175,,,,0.32847,0.38240,0.44335,0.48647
yem,m,25,180,,,,0.32696,0.38064,0.44131,0.48424
yem,m,25,185,,,,0.32545,0.37888,0.43927,0.48200
yem,m,25,190,,,,0.32394,0.37712,0.43723,0.47976
yem,m,25.5,170,,,,0.33473,0.38968,0.45179,0.49573
yem,m,25.5,175,,,,0.33321,0.38792,0.44975,0.49349
yem,m,25.5,180,,,,0.33170,0.38616,0.44771,0.49126
yem,m,25.5,185,,,,0.33019,0.38440,0.44567,0.48902
yem,m,25.5,190,,,,0.32868,0.38264,0.44363,0.48678
yem,m,26,170,,,,0.33947,0.39519,0.45818,0.50275
yem,m,26,175,,,,0.33795,0.39343,0.45614,0.50051
yem,m,26,180,,,,0.33644,0.39168,0.45411,0.49828
yem,m,26,185,,,,0.33493,0.38992,0.45207,0.49604
yem,m,26,190,,,,0.33342,0.38816,0.45003,0.49380
yem,m,26.5,170,,,,0.34421,0.40071,0.46458,0.50977
yem,m,26.5,175,,,,0.34270,0.39895,0.46254,0.50753
yem,m,26.5,180,,,,0.34118,0.39719,0.46050,0.50530
yem,m,26.5,185,,,,0.33967,0.39543,0.45846,0.50306
yem,m,26.5,190,,,,0.33816,0.39368,0.45642,0.50082
yem,m,27,170,,,,0.34895,0.40623,0.47098,0.51679
yem,m,27,175,,,,0.34744,0.40447,0.46894,0.51455
yem,m,27,180,,,,0.34592,0.40271,0.46690,0.51232
yem,m,27,185,,,,0.34441,0.40095,0.46486,0.51008
yem,m,27,190,,,,0.34290,0.39919,0.46282,0.50784
yem,m,27.5,170,,,,0.35369,0.41175,0.47738,0.52381
yem,m,27.5,175,,,,0.35218,0.40999,0.47534,0.52158
yem,m,27.5,180,,,,0.35066,0.40823,0.47330,0.51934
yem,m,27.5,185,,,,0.34915,0.40647,0.47126,0.51710
yem,m,27.5,190,,,,0.34764,0.40471,0.46922,0.51486
yem,m,28,170,,,,0.35843,0.41727,0.48378,0.53083
yem,m,28,175,,,,0.35692,0.41551,0.48174,0.52860
yem,m,28,180,,,,0.35540,0.41375,0.47970,0.52636
yem,m,28,185,,,,0.35389,0.41199,0.47766,0.52412
yem,m,28,190,,,,0.35238,0.41023,0.47562,0.52188
yem,m,28.5,170,,,,0.36317,0.42279,0.49017,0.53785
yem,m,28.5,175,,,,0.36166,0.42103,0.48813,0.53562
yem,m,28.5,180,,,,0.36015,0.41927,0.48610,0.53338
yem,m,28.5,185,,,,0.35863,0.41751,0.48406,0.53114
yem,m,28.5,190,,,,0.35712,0.41575,0.48202,0.52890
dc,f,14,,42.31000,45.14700,50.38700,57.04200,,,
dc,f,14.5,,41.80000,44.62000,49.83100,56.45430,,,
dc,f,15,,41.29100,44.09300,49.27500,55.86660,,,
dc,f,15.5,,40.78300,43.56800,48.72000,55.27891,,,
dc,f,16,,40.27700,43.04300,48.16500,54.69121,,,
dc,f,16.5,,39.77100,42.52000,47.61100,54.10352,,,
dc,f,17,,39.26700,41.99700,47.05700,53.51582,,,
dc,f,17.5,,38.76500,41.47600,46.50500,52.92813,,,
dc,f,18,,38.26300,40.95600,45.95200,52.34043,,,
dc,f,18.5,,37.76300,40.43700,45.40100,51.75274,,,
dc,f,19,,37.26500,39.91800,44.85000,51.16504,,,
dc,f,19.5,,36.76700,39.40100,44.30000,50.57735,,,
dc,f,20,,36.27100,38.88600,43.75000,49.98965,,,
dc,f,20.5,,35.77700,38.37100,43.20100,49.40196,,,
dc,f,21,,35.28300,37.85700,42.65200,48.81426,,,
dc,f,21.5,,34.79100,37.34500,42.10500,48.22656,,,
dc,f,22,,34.30100,36.83300,41.55800,47.63887,,,
dc,f,22.5,,33.81100,36.32300,41.01100,47.05117,,,
dc,f,23,,33.32400,35.81400,40.46600,46.46348,,,
dc,f,23.5,,32.83700,35.30600,39.92000,45.87578,,,
dc,f,24,,32.35200,34.79900,39.37600,45.28809,,,
dc,f,24.5,,31.86900,34.29400,38.83200,44.70039,,,
dc,f,25,,31.38700,33.79000,38.28900,44.11270,,,
dc,f,25.5,,30.90600,33.28600,37.74700,43.52500,,,
dc,f,26,,30.42700,32.78500,37.20600,42.93731,,,
dc,f,26.5,,29.94900,32.28400,36.66500,42.34961,,,
dc,f,27,,29.47300,31.78400,36.12400,41.76192,,,
dc,f,27.5,,28.99800,31.28600,35.58500,41.17422,,,
dc,f,28,,28.52500,30.78900,35.04600,40.58652,,,
dc,f,28.5,,28.05300,30.29300,34.50800,39.99883,,,
dc,m,14,150,36.59200,39.48900,44.42300,49.83488,,,
dc,m,14,155,36.84300,39.76100,44.72900,50.17788,,,
dc,m,14,160,37.09500,40.03300,45.03500,50.52088,,,
dc,m,14,165,37.34700,40.30500,45.34100,50.86388,,,
dc,m,14,170,37.59900,40.57600,45.64600,51.20689,,,
dc,m,14,175,37.85100,40.84800,45.95200,51.54989,,,
dc,m,14,180,38.10300,41.12000,46.25800,51.89289,,,
dc,m,14.5,155,36.22300,39.10100,44.00500,49.38542,,,
dc,m,14.5,160,36.47400,39.37300,44.31000,49.72842,,,
dc,m,14.5,165,36.72600,39.64500,44.61600,50.07143,,,
dc,m,14.5,170,36.97800,39.91600,44.92200,50.41443,,,
dc,m,14.5,175,37.22900,40.18800,45.22700,50.75743,,,
dc,m,14.5,180,37.48100,40.45900,45.53300,51.10043,,,
dc,m,14.5,185,37.73200,40.73100,45.83900,51.44344,,,
dc,m,15,160,35.85400,38.71400,43.58600,48.93586,,,
dc,m,15,165,36.10600,38.98500,43.89200,49.27886,,,
dc,m,15,170,36.35700,39.25700,44.19700,49.62186,,,
dc,m,15,175,36.60800,39.52800,44.50300,49.96486,,,
dc,m,15,180,36.86000,39.79900,44.80800,50.30787,,,
dc,m,15,185,37.11100,40.07100,45.11400,50.65087,,,
dc,m,15.5,165,35.48700,38.32700,43.16900,48.48664,,,
dc,m,15.5,170,35.73800,38.59800,43.47400,48.82964,,,
dc,m,15.5,175,35.98900,38.86900,43.77900,49.17265,,,
dc,m,15.5,180,36.24000,39.14000,44.08500,49.51565,,,
dc,m,15.5,185,36.49100,39.41200,44.39000,49.85865,,,
dc,m,16,165,34.87200,37.67300,42.44900,47.69793,,,
dc,m,16,170,35.12300,37.94400,42.75400,48.04093,,,
dc,m,16,175,35.37400,38.21400,43.06000,48.38394,,,
dc,m,16,180,35.62400,38.48500,43.36500,48.72694,,,
dc,m,16,185,35.87500,38.75600,43.67000,49.06994,,,
dc,m,16,190,36.12600,39.02700,43.97500,49.41294,,,
dc,m,16.5,165,34.26300,37.02500,41.73600,46.91610,,,
dc,m,16.5,170,34.51400,37.29500,42.04100,47.25911,,,
dc,m,16.5,175,34.76400,37.56600,42.34600,47.60211,,,
dc,m,16.5,180,35.01500,37.83700,42.65100,47.94511,,,
dc,m,16.5,185,35.26500,38.10700,42.95700,48.28811,,,
dc,m,16.5,190,35.51600,38.37800,43.26200,48.63112,,,
dc,m,17,170,33.91200,36.65500,41.33600,46.48606,,,
dc,m,17,175,34.16300,36.92500,41.64100,46.82906,,,
dc,m,17,180,34.41300,37.19600,41.94600,47.17206,,,
dc,m,17,185,34.66300,37.46600,42.25100,47.51506,,,
dc,m,17,190,34.91300,37.73700,42.55600,47.85807,,,
dc,m,17.5,170,33.32000,36.02400,40.64100,45.72361,,,
dc,m,17.5,175,33.57000,36.29400,40.94600,46.06661,,,
dc,m,17.5,180,33.82000,36.56400,41.25100,46.40961,,,
dc,m,17.5,185,34.07000,36.83500,41.55600,46.75261,,,
dc,m,17.5,190,34.31900,37.10500,41.86100,47.09562,,,
dc,m,18,170,32.73800,35.40400,39.95900,44.97445,,,
dc,m,18,175,32.98700,35.67400,40.26400,45.31746,,,
dc,m,18,180,33.23700,35.94400,40.56800,45.66046,,,
dc,m,18,185,33.48700,36.21400,40.87300,46.00346,,,
dc,m,18,190,33.73700,36.48400,41.17800,46.34646,,,
dc,m,18.5,170,32.16900,34.79800,39.29100,44.24116,,,
dc,m,18.5,175,32.41800,35.06800,39.59600,44.58416,,,
dc,m,18.5,180,32.66700,35.33700,39.90000,44.92716,,,
dc,m,18.5,185,32.91700,35.60700,40.20500,45.27017,,,
dc,m,18.5,190,33.16600,35.87700,40.50900,45.61317,,,
dc,m,19,170,31.61300,34.20600,38.63900,43.52535,,,
dc,m,19,175,31.86200,34.47600,38.94400,43.86836,,,
dc,m,19,180,32.11200,34.74500,39.24800,44.21136,,,
dc,m,19,185,32.36100,35.01500,39.55300,44.55436,,,
dc,m,19,190,32.61000,35.28400,39.85700,44.89736,,,
dc,m,19.5,170,31.07300,33.63000,38.00500,42.82895,,,
dc,m,19.5,175,31.32200,33.90000,38.30900,43.17196,,,
dc,m,19.5,180,31.57100,34.16900,38.61400,43.51496,,,
dc,m,19.5,185,31.82000,34.43800,38.91800,43.85796,,,
dc,m,19.5,190,32.06800,34.70800,39.22200,44.20096,,,
dc,m,20,170,30.54900,33.07200,37.39000,42.15394,,,
dc,m,20,175,30.79800,33.34200,37.69400,42.49695,,,
dc,m,20,180,31.04600,33.61100,37.99900,42.83995,,,
dc,m,20,185,31.29500,33.88000,38.30300,43.18295,,,
dc,m,20,190,31.54400,34.14900,38.60700,43.52595,,,
dc,m,20.5,170,30.04200,32.53200,36.79500,41.50051,,,
dc,m,20.5,175,30.29100,32.80100,37.09900,41.84352,,,
dc,m,20.5,180,30.53900,33.07000,37.40300,42.18652,,,
dc,m,20.5,185,30.78700,33.33900,37.70700,42.52952,,,
dc,m,20.5,190,31.03500,33.60800,38.01100,42.87252,,,
dc,m,21,170,29.55100,32.00900,36.21800,40.86722,,,
dc,m,21,175,29.79900,32.27700,36.52200,41.21022,,,
dc,m,21,180,30.04700,32.54600,36.82600,41.55322,,,
dc,m,21,185,30.29500,32.81500,37.13000,41.89622,,,
dc,m,21,190,30.54300,33.08300,37.43400,42.23923,,,
dc,m,21.5,170,29.07400,31.50100,35.65800,40.25314,,,
dc,m,21.5,175,29.32200,31.76900,35.96200,40.59614,,,
dc,m,21.5,180,29.57000,32.03800,36.26600,40.93914,,,
dc,m,21.5,185,29.81700,32.30600,36.57000,41.28215,,,
dc,m,21.5,190,30.06500,32.57400,36.87400,41.62515,,,
dc,m,22,170,28.61200,31.00800,35.11600,39.65774,,,
dc,m,22,175,28.85900,31.27600,35.42000,40.00074,,,
dc,m,22,180,29.10700,31.54500,35.72300,40.34375,,,
dc,m,22,185,29.35400,31.81300,36.02700,40.68675,,,
dc,m,22,190,29.60200,32.08100,36.33100,41.02975,,,
dc,m,22.5,170,28.16300,30.53000,34.58900,39.07919,,,
dc,m,22.5,175,28.41000,30.79800,34.89200,39.42219,,,
dc,m,22.5,180,28.65700,31.06600,35.19600,39.76519,,,
dc,m,22.5,185,28.90400,31.33400,35.50000,40.10819,,,
dc,m,22.5,190,29.15100,31.60200,35.80300,40.45119,,,
dc,m,23,170,27.72400,30.06300,34.07400,38.51453,,,
dc,m,23,175,27.97100,30.33000,34.37800,38.85753,,,
dc,m,23,180,28.21800,30.59800,34.68100,39.20053,,,
dc,m,23,185,28.46500,30.86600,34.98500,39.54353,,,
dc,m,23,190,28.71200,31.13400,35.28800,39.88654,,,
dc,m,23.5,170,27.29500,29.60500,33.57000,37.96136,,,
dc,m,23.5,175,27.54200,29.87300,33.87400,38.30436,,,
dc,m,23.5,180,27.78800,30.14000,34.17700,38.64736,,,
dc,m,23.5,185,28.03500,30.40800,34.48000,38.99036,,,
dc,m,23.5,190,28.28100,30.67500,34.78400,39.33337,,,
dc,m,24,170,26.87300,29.15600,33.07500,37.41730,,,
dc,m,24,175,27.11900,29.42300,33.37800,37.76031,,,
dc,m,24,180,27.36600,29.69000,33.68100,38.10331,,,
dc,m,24,185,27.61200,29.95700,33.98500,38.44631,,,
dc,m,24,190,27.85800,30.22500,34.28800,38.78931,,,
dc,m,24.5,170,26.45600,28.71100,32.58500,36.87927,,,
dc,m,24.5,175,26.70200,28.97800,32.88800,37.22227,,,
dc,m,24.5,180,26.94900,29.24600,33.19100,37.56527,,,
dc,m,24.5,185,27.19500,29.51300,33.49400,37.90828,,,
dc,m,24.5,190,27.44100,29.78000,33.79700,38.25128,,,
dc,m,25,170,26.04300,28.27000,32.09800,36.34436,,,
dc,m,25,175,26.28900,28.53700,32.40100,36.68736,,,
dc,m,25,180,26.53400,28.80400,32.70400,37.03036,,,
dc,m,25,185,26.78000,29.07100,33.00700,37.37337,,,
dc,m,25,190,27.02600,29.33800,33.31000,37.71637,,,
dc,m,25.5,170,25.63100,27.83100,31.61300,35.81057,,,
dc,m,25.5,175,25.87600,28.09700,31.91600,36.15357,,,
dc,m,25.5,180,26.12200,28.36400,32.21900,36.49657,,,
dc,m,25.5,185,26.36700,28.63000,32.52200,36.83957,,,
dc,m,25.5,190,26.61300,28.89700,32.82400,37.18258,,,
dc,m,26,170,25.21900,27.39200,31.12800,35.27642,,,
dc,m,26,175,25.46400,27.65800,31.43100,35.61943,,,
dc,m,26,180,25.71000,27.92400,31.73300,35.96243,,,
dc,m,26,185,25.95500,28.19100,32.03600,36.30543,,,
dc,m,26,190,26.20000,28.45700,32.33900,36.64843,,,
dc,m,26.5,170,24.80800,26.95300,30.64200,34.74170,,,
dc,m,26.5,175,25.05300,27.21900,30.94500,35.08470,,,
dc,m,26.5,180,25.29800,27.48500,31.24800,35.42770,,,
dc,m,26.5,185,25.54300,27.75100,31.55000,35.77071,,,
dc,m,26.5,190,25.78800,28.01700,31.85300,36.11371,,,
dc,m,27,170,24.39800,26.51500,30.15800,34.20748,,,
dc,m,27,175,24.64300,26.78000,30.46000,34.55048,,,
dc,m,27,180,24.88800,27.04600,30.76300,34.89348,,,
dc,m,27,185,25.13200,27.31200,31.06500,35.23648,,,
dc,m,27,190,25.37700,27.57800,31.36700,35.57949,,,
dc,m,27.5,170,23.99000,26.07800,29.67500,33.67459,,,
dc,m,27.5,175,24.23400,26.34400,29.97700,34.01759,,,
dc,m,27.5,180,24.47900,26.61000,30.27900,34.36059,,,
dc,m,27.5,185,24.72300,26.87500,30.58200,34.70359,,,
dc,m,27.5,190,24.96800,27.14100,30.88400,35.04659,,,
dc,m,28,170,23.58400,25.64400,29.19300,33.14298,,,
dc,m,28,175,23.82800,25.90900,29.49500,33.48598,,,
dc,m,28,180,24.07200,26.17500,29.79800,33.82898,,,
dc,m,28,185,24.31600,26.44000,30.10000,34.17198,,,
dc,m,28,190,24.56000,26.70500,30.40200,34.51498,,,
dc,m,28.5,170,23.17900,25.21100,28.71300,32.61274,,,
dc,m,28.5,175,23.42300,25.47600,29.01500,32.95574,,,
dc,m,28.5,180,23.66700,25.74100,29.31700,33.29874,,,
dc,m,28.5,185,23.91100,26.00600,29.61900,33.64174,,,
dc,m,28.5,190,24.15400,26.27200,29.92100,33.98475,,,
